Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
227,Tyus Jones\jonesty01,PG,20,MIN,30,0,10.5,1.1,2.5,.427,0.5,1.1,.441,0.6,1.4,.415,.527,0.6,0.7,.864,0.2,0.8,1.0,2.1,0.6,0.1,0.7,0.8,3.3
228,DeAndre Jordan\jordade01,C,28,LAC,50,50,31.5,4.8,6.8,.698,0.0,0.0,.000,4.8,6.8,.700,.698,2.7,5.3,.508,3.5,10.1,13.6,1.2,0.6,1.8,1.6,2.7,12.2
229,Cory Joseph\josepco01,SG,25,TOR,50,1,22.6,3.4,7.7,.445,0.5,1.2,.387,2.9,6.4,.457,.477,1.3,1.6,.790,0.6,2.1,2.6,2.8,0.8,0.1,1.0,1.7,8.6
230,Frank Kaminsky\kaminfr01,C,23,CHO,49,7,24.2,3.8,9.7,.394,1.3,4.2,.307,2.5,5.5,.459,.460,1.3,1.8,.767,0.8,3.5,4.3,2.0,0.7,0.4,1.0,1.6,10.3
231,Enes Kanter\kanteen01,C,24,OKC,47,0,21.6,5.6,10.0,.563,0.1,0.7,.161,5.5,9.4,.591,.568,3.0,3.8,.789,2.6,4.1,6.7,1.0,0.4,0.7,1.6,2.2,14.4
232,Ryan Kelly\kellyry01,PF,25,ATL,9,0,5.2,0.3,1.1,.300,0.2,0.6,.400,0.1,0.6,.200,.400,0.2,0.2,1.000,0.0,1.1,1.1,0.6,0.4,0.2,0.2,0.3,1.1
233,Michael Kidd-Gilchrist\kiddgmi01,SF,23,CHO,50,50,29.5,3.5,7.8,.453,0.0,0.2,.125,3.5,7.7,.460,.454,2.0,2.6,.758,2.0,5.4,7.4,1.3,0.8,1.0,0.7,2.2,9.1
234,Sean Kilpatrick\kilpase01,SG,27,BRK,49,24,26.6,4.7,11.2,.420,1.5,4.4,.344,3.2,6.8,.468,.487,3.0,3.6,.841,0.3,3.8,4.1,2.4,0.7,0.1,2.3,1.9,13.9
235,Brandon Knight\knighbr03,SG,25,PHO,48,4,21.1,3.9,9.8,.395,0.9,2.6,.333,3.0,7.3,.417,.438,2.6,3.0,.860,0.5,1.8,2.3,2.3,0.5,0.1,1.6,1.6,11.2
236,Kyle Korver\korveky01,SG,35,TOT,45,21,27.0,3.3,7.6,.440,2.1,5.0,.413,1.3,2.6,.491,.576,0.6,0.7,.879,0.1,2.6,2.8,1.9,0.6,0.3,1.1,1.4,9.4
236,Kyle Korver\korveky01,SG,35,ATL,32,21,27.9,3.4,7.7,.441,2.0,5.0,.409,1.3,2.7,.500,.573,0.8,0.8,.889,0.0,2.8,2.8,2.3,0.7,0.4,1.3,1.5,9.5
236,Kyle Korver\korveky01,SG,35,CLE,13,0,24.8,3.2,7.4,.438,2.2,5.1,.424,1.1,2.3,.467,.583,0.4,0.5,.833,0.4,2.3,2.7,0.8,0.3,0.2,0.6,1.3,9.0
237,Kosta Koufos\koufoko01,C,27,SAC,51,42,19.1,2.9,4.8,.598,0.0,0.0,.000,2.9,4.8,.601,.598,0.5,1.0,.551,1.6,3.8,5.4,0.5,0.5,0.6,0.8,2.3,6.3
238,Mindaugas Kuzminskas\kuzmimi01,SF,27,NYK,45,3,14.4,2.2,5.2,.428,0.8,2.5,.333,1.4,2.7,.516,.508,0.8,1.0,.791,0.7,1.3,2.0,1.0,0.6,0.2,0.7,1.1,6.1
239,Skal Labissiere\labissk01,PF,20,SAC,6,0,7.0,1.0,1.8,.545,0.0,0.0,,1.0,1.8,.545,.545,1.0,1.5,.667,1.2,0.8,2.0,0.0,0.3,0.0,0.3,0.0,3.0
240,Jeremy Lamb\lambje01,SG,24,CHO,31,3,17.5,3.3,7.7,.433,0.5,2.3,.222,2.8,5.4,.524,.466,1.9,2.3,.817,0.5,4.2,4.7,1.2,0.3,0.4,0.6,1.4,9.0
241,Nicolas Laprovittola\laproni01,PG,27,SAS,18,3,9.7,1.1,2.6,.426,0.6,1.5,.370,0.6,1.1,.500,.532,0.5,0.5,1.000,0.1,0.5,0.6,1.6,0.2,0.1,1.1,1.1,3.3
242,Joffrey Lauvergne\lauvejo01,C,25,OKC,44,0,14.2,2.1,4.7,.444,0.5,1.6,.348,1.5,3.1,.493,.502,0.7,1.1,.600,0.9,2.6,3.5,0.9,0.3,0.1,0.7,1.4,5.4
243,Zach LaVine\lavinza01,SG,21,MIN,47,47,37.2,6.9,15.1,.459,2.6,6.6,.387,4.4,8.5,.515,.544,2.5,3.0,.836,0.4,3.0,3.4,3.0,0.9,0.2,1.8,2.2,18.9
244,Ty Lawson\lawsoty01,PG,29,SAC,49,15,24.6,3.1,7.2,.428,0.5,1.8,.281,2.6,5.4,.477,.463,2.1,2.6,.803,0.7,2.0,2.6,4.4,1.1,0.1,1.8,1.5,8.8
245,Jake Layman\laymaja01,SF,22,POR,23,0,6.3,0.8,2.4,.321,0.4,1.7,.237,0.4,0.8,.500,.402,0.4,0.6,.692,0.1,0.5,0.6,0.3,0.3,0.1,0.2,0.6,2.3
246,Courtney Lee\leeco01,SG,31,NYK,47,44,31.2,3.9,8.7,.450,1.5,3.5,.418,2.5,5.2,.472,.534,0.9,1.1,.840,0.8,2.4,3.3,1.9,0.9,0.3,0.7,1.8,10.2
247,David Lee\leeda02,PF,33,SAS,49,7,18.6,3.1,5.3,.583,0.0,0.0,,3.1,5.3,.583,.583,1.1,1.5,.722,1.8,3.7,5.5,1.6,0.4,0.4,1.0,1.5,7.2
248,Alex Len\lenal01,C,23,PHO,49,10,19.6,2.7,5.4,.502,0.0,0.1,.000,2.7,5.4,.508,.502,1.8,2.5,.727,1.9,4.4,6.3,0.5,0.4,1.3,1.2,3.0,7.3
249,Kawhi Leonard\leonaka01,SF,25,SAS,46,46,33.4,8.4,17.2,.486,2.0,5.0,.400,6.4,12.2,.521,.544,6.6,7.3,.902,1.2,4.6,5.8,3.3,1.8,0.8,2.1,1.5,25.3
250,Meyers Leonard\leoname01,PF,24,POR,44,5,15.9,2.0,5.5,.361,1.1,3.1,.343,0.9,2.4,.385,.459,0.6,0.6,.962,0.4,2.8,3.1,0.8,0.1,0.4,0.5,2.2,5.6
251,Jon Leuer\leuerjo01,PF,27,DET,45,14,26.7,4.4,8.6,.509,0.8,2.5,.333,3.5,6.1,.582,.558,1.3,1.5,.882,1.4,4.4,5.8,1.8,0.5,0.4,0.9,2.0,10.9
252,Caris LeVert\leverca01,SF,22,BRK,28,1,20.1,2.5,5.9,.430,1.0,3.2,.315,1.5,2.7,.566,.515,1.1,1.4,.750,0.3,2.5,2.8,1.9,1.0,0.1,1.0,1.3,7.1
253,DeAndre Liggins\liggide01,SG,28,CLE,41,17,14.7,1.0,2.6,.370,0.4,1.0,.375,0.6,1.7,.368,.440,0.4,0.7,.643,0.3,1.4,1.7,1.0,0.8,0.3,0.8,1.6,2.8
254,Damian Lillard\lillada01,PG,26,POR,46,46,35.7,8.5,19.2,.441,2.5,7.3,.341,6.0,11.9,.501,.505,6.5,7.2,.901,0.6,4.2,4.8,5.8,0.7,0.3,2.7,2.2,25.9
255,Jeremy Lin\linje01,PG,28,BRK,12,9,25.0,5.1,10.8,.469,1.3,4.0,.333,3.8,6.8,.549,.531,2.4,3.4,.707,0.2,3.1,3.3,5.8,1.3,0.6,2.7,1.0,13.9
256,Shaun Livingston\livinsh01,PG,31,GSW,47,1,17.6,2.5,4.3,.574,0.0,0.0,.000,2.5,4.3,.577,.574,0.5,0.8,.595,0.4,1.6,2.0,1.7,0.5,0.2,0.9,1.6,5.4
257,Kevon Looney\looneke01,C,20,GSW,38,3,8.7,1.1,1.9,.575,0.0,0.2,.167,1.1,1.8,.612,.582,0.5,0.7,.667,0.9,1.6,2.5,0.6,0.2,0.4,0.3,1.5,2.7
258,Brook Lopez\lopezbr01,C,28,BRK,45,45,29.4,7.2,15.4,.468,1.8,5.2,.345,5.4,10.3,.530,.526,4.1,4.9,.842,1.6,3.6,5.2,2.5,0.6,1.6,2.4,2.5,20.4
259,Robin Lopez\lopezro01,C,28,CHI,51,51,28.2,4.3,8.7,.494,0.0,0.0,.000,4.3,8.7,.495,.494,0.8,1.3,.672,3.3,3.6,6.9,0.9,0.2,1.6,1.0,1.9,9.4
260,Kevin Love\loveke01,PF,28,CLE,42,42,31.6,6.4,15.0,.425,2.6,6.8,.380,3.8,8.2,.464,.512,4.6,5.3,.865,2.5,8.6,11.1,1.9,0.8,0.4,2.1,1.8,19.9
261,Kyle Lowry\lowryky01,PG,30,TOR,50,50,37.6,7.3,15.5,.470,3.3,7.8,.421,4.0,7.7,.519,.575,5.3,6.4,.822,0.9,3.8,4.7,6.9,1.5,0.3,2.9,2.8,23.2
262,John Lucas III\lucasjo02,PG,34,MIN,5,0,2.2,0.2,0.8,.250,0.0,0.2,.000,0.2,0.6,.333,.250,0.0,0.0,,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.4
263,Timothe Luwawu-Cabarrot\luwawti01,SF,21,PHI,37,1,11.6,1.2,3.0,.405,0.3,1.0,.324,0.9,2.0,.446,.459,0.9,1.2,.761,0.2,1.1,1.4,0.7,0.2,0.2,0.8,1.5,3.7
264,Trey Lyles\lylestr01,PF,21,UTA,51,4,19.1,2.8,7.2,.389,1.1,3.4,.329,1.7,3.8,.443,.467,0.9,1.3,.706,0.8,3.0,3.8,1.2,0.5,0.3,1.1,1.5,7.6
265,Shelvin Mack\macksh01,PG,26,UTA,42,9,22.5,3.2,7.2,.444,0.7,2.3,.316,2.5,4.9,.502,.493,0.8,1.2,.667,0.4,1.9,2.2,2.9,0.8,0.0,1.9,1.8,7.9
266,Ian Mahinmi\mahinia01,C,30,WAS,1,0,14.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,1.0,2.0,.500,0.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0
267,Thon Maker\makerth01,PF,19,MIL,26,3,5.7,1.0,1.8,.542,0.4,0.7,.611,0.6,1.2,.500,.656,0.5,0.8,.619,0.4,0.8,1.2,0.0,0.2,0.4,0.2,1.0,2.9
268,Boban Marjanovic\marjabo01,C,28,DET,21,0,7.0,1.4,3.1,.462,0.0,0.0,,1.4,3.1,.462,.462,1.0,1.3,.778,1.2,2.0,3.2,0.1,0.1,0.4,0.2,0.5,3.9
269,Jarell Martin\martija01,PF,22,MEM,40,3,13.5,1.4,3.6,.375,0.2,0.7,.346,1.1,3.0,.381,.406,1.0,1.2,.792,0.9,3.0,3.9,0.2,0.4,0.2,0.7,2.3,3.9
270,Wesley Matthews\matthwe02,SG,30,DAL,47,47,35.4,5.1,12.9,.398,2.8,7.3,.383,2.3,5.6,.418,.507,2.2,2.7,.817,0.2,3.3,3.5,2.2,1.2,0.2,1.4,2.1,15.3
271,Luc Mbah a Moute\mbahalu01,PF,30,LAC,48,46,22.6,2.4,4.9,.494,0.6,1.5,.403,1.8,3.4,.534,.556,1.0,1.3,.719,0.8,1.8,2.5,0.4,1.0,0.6,0.7,1.7,6.4
272,James Michael McAdoo\mcadoja01,PF,24,GSW,24,0,8.3,1.1,2.0,.563,0.0,0.1,.000,1.1,1.9,.600,.563,0.3,0.5,.636,0.5,1.1,1.6,0.4,0.2,0.4,0.5,0.8,2.5
273,Patrick McCaw\mccawpa01,SG,21,GSW,41,2,12.2,1.1,2.9,.402,0.6,1.7,.371,0.5,1.1,.447,.513,0.2,0.3,.500,0.2,0.8,1.0,0.9,0.3,0.2,0.5,0.9,3.1
274,Sheldon McClellan\mcclesh01,SG,24,WAS,23,3,10.6,1.0,2.7,.365,0.3,1.1,.231,0.7,1.6,.459,.413,0.8,0.9,.857,0.2,1.1,1.3,0.7,0.3,0.1,0.1,0.7,3.0
275,C.J. McCollum\mccolcj01,SG,25,POR,51,51,34.5,8.8,18.0,.486,2.5,6.0,.420,6.2,12.0,.519,.556,3.4,3.8,.896,0.8,2.8,3.6,3.7,1.1,0.6,2.3,2.8,23.5
276,T.J. McConnell\mccontj01,PG,24,PHI,49,19,24.2,2.5,5.4,.460,0.1,0.6,.241,2.3,4.8,.487,.474,0.7,0.9,.767,0.4,2.5,2.9,6.1,1.4,0.1,1.9,1.8,5.8
277,Chris McCullough\mcculch01,PF,21,BRK,13,0,5.5,1.2,2.4,.516,0.1,0.5,.167,1.2,1.9,.600,.532,0.2,0.2,.667,0.7,0.6,1.3,0.2,0.1,0.2,0.2,0.5,2.7
278,K.J. McDaniels\mcdankj01,SF,23,HOU,27,0,7.6,1.0,2.3,.444,0.3,0.9,.320,0.7,1.4,.526,.508,0.3,0.4,.900,0.1,0.9,1.0,0.1,0.2,0.3,0.4,0.9,2.7
279,Doug McDermott\mcderdo01,SF,25,CHI,38,3,24.7,3.7,8.4,.441,1.3,3.4,.375,2.4,5.1,.484,.516,1.4,1.5,.912,0.3,2.8,3.2,1.1,0.3,0.1,0.7,1.3,10.1
280,JaVale McGee\mcgeeja01,C,29,GSW,46,5,8.7,2.6,3.8,.678,0.0,0.1,.000,2.6,3.7,.690,.678,0.6,1.3,.468,1.0,1.7,2.7,0.2,0.2,0.7,0.6,1.3,5.8
281,Rodney McGruder\mcgruro01,SG,25,MIA,47,34,25.6,2.1,5.5,.384,0.9,2.6,.325,1.3,2.9,.437,.461,0.7,1.1,.654,1.3,2.1,3.3,1.4,0.6,0.2,0.7,1.9,5.8
282,Ben McLemore\mclembe01,SG,23,SAC,36,16,15.9,2.1,5.3,.402,0.6,2.1,.293,1.5,3.2,.474,.460,0.8,1.1,.763,0.2,1.0,1.2,0.8,0.5,0.1,0.7,1.2,5.6
283,Jordan McRae\mcraejo01,SG,25,CLE,32,3,10.5,1.7,4.2,.396,0.4,1.3,.333,1.2,2.9,.424,.448,0.8,1.0,.788,0.1,1.1,1.2,0.5,0.3,0.2,0.4,0.9,4.6
284,Josh McRoberts\mcrobjo01,PF,29,MIA,22,14,17.3,2.0,5.4,.373,0.6,1.4,.419,1.4,4.0,.356,.428,0.3,0.4,.667,1.0,2.3,3.4,2.3,0.5,0.2,1.0,1.4,4.9
285,Jodie Meeks\meeksjo01,SG,29,ORL,24,9,21.7,2.9,7.0,.417,1.5,3.7,.404,1.4,3.3,.430,.524,1.6,1.8,.905,0.1,2.1,2.3,1.5,1.2,0.1,1.0,1.2,8.9
286,Salah Mejri\mejrisa01,C,30,DAL,44,11,13.5,1.1,1.7,.667,0.0,0.0,.000,1.1,1.7,.685,.667,0.5,0.7,.625,1.4,3.0,4.5,0.2,0.5,0.9,0.6,2.3,2.7
287,Jordan Mickey\mickejo01,PF,22,BOS,14,1,8.0,1.0,2.1,.483,0.0,0.1,.000,1.0,2.0,.500,.483,0.4,0.7,.600,0.9,1.0,1.9,0.4,0.1,0.2,0.5,0.6,2.4
288,C.J. Miles\milescj01,SF,29,IND,44,10,22.8,3.7,8.5,.434,2.2,5.1,.420,1.5,3.3,.456,.562,1.1,1.3,.857,0.3,2.6,3.0,0.6,0.6,0.4,0.5,2.0,10.6
289,Mike Miller\millemi01,SF,36,DEN,10,0,5.5,0.4,1.0,.400,0.4,0.8,.500,0.0,0.2,.000,.600,0.2,0.2,1.000,0.2,1.3,1.5,0.8,0.0,0.0,0.7,0.2,1.4
290,Patty Mills\millspa02,PG,28,SAS,49,4,21.7,3.7,7.9,.460,1.8,4.2,.437,1.8,3.7,.486,.576,1.0,1.1,.857,0.3,1.6,1.9,3.3,0.8,0.0,1.3,1.4,10.1
291,Paul Millsap\millspa01,PF,31,ATL,48,48,33.9,6.4,14.4,.441,1.2,3.6,.326,5.2,10.8,.481,.483,4.0,5.3,.753,1.7,6.3,8.0,3.8,1.5,1.0,2.2,2.6,17.9
292,Nikola Mirotic\mirotni01,PF,25,CHI,45,2,22.6,3.1,8.1,.387,1.4,4.7,.300,1.7,3.4,.510,.475,1.4,1.8,.765,0.8,4.5,5.3,0.9,0.7,0.8,1.1,1.8,9.1
293,Greg Monroe\monrogr01,C,26,MIL,49,0,21.3,4.4,8.5,.519,0.0,0.0,.000,4.4,8.4,.522,.519,2.3,3.1,.721,2.0,4.7,6.7,2.1,1.3,0.5,1.6,1.8,11.1
294,E'Twaun Moore\mooreet01,SG,27,NOP,47,20,24.9,3.9,8.6,.457,1.2,2.9,.404,2.7,5.7,.483,.525,0.7,0.9,.738,0.6,1.7,2.3,2.3,0.6,0.5,0.9,1.9,9.7
295,Marcus Morris\morrima03,SF,27,DET,50,50,32.9,5.4,12.7,.421,1.6,4.7,.342,3.7,8.0,.469,.485,1.8,2.2,.804,0.9,3.5,4.4,2.1,0.7,0.3,1.1,2.0,14.1
296,Markieff Morris\morrima02,PF,27,WAS,49,49,32.1,5.4,12.1,.443,0.9,2.7,.341,4.4,9.4,.472,.481,2.7,3.3,.820,1.5,5.3,6.8,1.8,1.1,0.6,1.9,3.3,14.3
297,Anthony Morrow\morroan01,SG,31,OKC,34,7,16.1,2.2,5.6,.400,0.9,2.9,.300,1.4,2.6,.511,.479,0.6,0.7,.875,0.3,0.4,0.7,0.5,0.5,0.1,0.2,1.1,6.0
298,Donatas Motiejunas\motiedo01,PF,26,NOP,14,0,15.1,2.0,4.0,.500,0.6,1.5,.381,1.4,2.5,.571,.571,0.6,1.4,.474,0.8,2.3,3.1,1.4,0.6,0.4,1.0,1.9,5.2
299,Timofey Mozgov\mozgoti01,C,30,LAL,52,52,20.7,3.2,6.2,.509,0.0,0.0,.000,3.2,6.2,.511,.509,1.2,1.5,.803,1.9,3.0,5.0,0.8,0.3,0.6,1.3,2.4,7.5
300,Emmanuel Mudiay\mudiaem01,PG,20,DEN,44,41,28.1,4.1,11.0,.369,1.1,3.6,.308,3.0,7.4,.399,.420,2.5,3.2,.775,0.6,3.0,3.5,4.2,0.8,0.3,2.5,1.9,11.8
301,Shabazz Muhammad\muhamsh01,SF,24,MIN,47,0,19.6,3.3,7.0,.465,0.8,1.8,.453,2.4,5.2,.469,.524,1.6,2.1,.794,1.1,1.9,3.0,0.4,0.3,0.1,0.7,1.2,9.0
302,Dejounte Murray\murrade01,PG,20,SAS,28,6,8.3,1.5,3.4,.447,0.3,0.6,.444,1.2,2.7,.447,.489,0.6,0.9,.720,0.1,0.8,1.0,1.1,0.2,0.1,1.0,0.8,3.9
303,Jamal Murray\murraja01,SG,19,DEN,50,3,19.9,3.1,7.9,.390,1.2,3.8,.321,1.9,4.1,.454,.467,1.3,1.5,.865,0.6,1.9,2.5,1.8,0.5,0.3,1.3,1.4,8.7
304,Mike Muscala\muscami01,C,25,ATL,45,3,20.2,2.9,5.7,.512,0.8,1.8,.439,2.1,3.9,.546,.582,0.8,1.1,.771,1.3,2.5,3.8,1.4,0.5,0.7,0.9,1.7,7.4
305,Larry Nance Jr.\nancela02,PF,24,LAL,34,0,21.9,3.1,5.4,.568,0.1,0.4,.167,3.0,5.0,.596,.574,0.7,1.0,.697,1.7,3.7,5.4,1.4,1.1,0.7,0.8,2.4,6.9
306,Shabazz Napier\napiesh01,PG,25,POR,30,0,7.6,1.1,2.9,.375,0.6,1.8,.321,0.5,1.2,.457,.472,0.6,0.8,.739,0.1,0.7,0.7,0.9,0.6,0.0,0.7,0.6,3.3
307,Maurice Ndour\ndourma01,PF,24,NYK,18,0,7.8,1.0,2.1,.474,0.1,0.3,.200,0.9,1.8,.515,.487,0.5,0.6,.900,0.4,1.0,1.4,0.1,0.4,0.1,0.3,0.9,2.6
308,Gary Neal\nealga01,SG,32,ATL,2,0,9.0,0.0,3.5,.000,0.0,1.0,.000,0.0,2.5,.000,.000,2.0,2.0,1.000,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,2.0
309,Jameer Nelson\nelsoja01,PG,34,DEN,50,14,25.4,3.4,7.8,.437,1.2,3.3,.376,2.2,4.5,.482,.517,0.6,0.9,.727,0.4,1.8,2.2,4.6,0.6,0.1,1.7,2.7,8.7
310,Raul Neto\netora01,PG,24,UTA,25,0,8.0,1.0,2.3,.439,0.2,0.8,.286,0.8,1.4,.528,.491,0.1,0.1,1.000,0.0,0.7,0.8,0.8,0.5,0.0,0.4,1.0,2.4
311,Georges Niang\niangge01,PF,23,IND,21,0,4.1,0.4,1.6,.235,0.0,0.5,.091,0.3,1.1,.304,.250,0.1,0.1,1.000,0.1,0.6,0.7,0.2,0.1,0.0,0.2,0.3,0.9
312,Andrew Nicholson\nichoan01,PF,27,WAS,27,0,8.4,1.1,2.8,.395,0.1,0.6,.188,1.0,2.2,.450,.414,0.3,0.4,.583,0.4,0.9,1.3,0.3,0.4,0.2,0.4,1.4,2.6
313,Joakim Noah\noahjo01,C,31,NYK,46,46,22.1,2.2,4.3,.495,0.0,0.0,.000,2.2,4.3,.497,.495,0.7,1.7,.436,3.5,5.2,8.7,2.2,0.7,0.8,1.3,2.8,5.0
314,Nerlens Noel\noelne01,C,22,PHI,23,4,18.0,3.4,5.8,.594,0.0,0.0,,3.4,5.8,.594,.594,1.4,2.0,.717,1.5,3.3,4.8,1.0,1.3,0.9,0.9,2.3,8.3
315,Lucas Nogueira\noguelu01,C,24,TOR,42,6,21.3,2.2,3.2,.684,0.1,0.2,.375,2.1,3.0,.704,.695,0.9,1.4,.638,1.8,3.2,5.0,0.8,1.0,1.9,0.8,2.7,5.3
316,Steve Novak\novakst01,PF,33,MIL,8,0,2.8,0.3,0.9,.286,0.1,0.8,.167,0.1,0.1,1.000,.357,0.0,0.0,,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.1,0.6
317,Dirk Nowitzki\nowitdi01,PF,38,DAL,24,24,25.5,4.8,11.8,.403,1.5,4.0,.368,3.3,7.8,.420,.465,1.8,2.1,.860,0.5,5.3,5.9,1.5,0.5,0.8,0.9,1.9,12.8
318,Jusuf Nurkic\nurkiju01,C,22,DEN,43,29,18.4,3.5,6.8,.510,0.0,0.0,,3.5,6.8,.510,.510,1.3,2.6,.495,2.0,3.9,5.9,1.3,0.6,0.8,1.9,2.0,8.2
319,Johnny O'Bryant\obryajo01,PF,23,DEN,2,0,8.0,1.0,3.5,.286,0.5,1.0,.500,0.5,2.5,.200,.357,1.0,1.0,1.000,0.0,1.5,1.5,0.5,0.0,0.0,0.5,0.5,3.5
320,Kyle O'Quinn\oquinky01,PF,26,NYK,50,6,14.9,2.7,5.2,.525,0.0,0.2,.125,2.7,5.0,.538,.527,0.6,0.8,.690,2.1,3.5,5.6,1.2,0.4,1.2,0.9,2.1,6.0
321,Daniel Ochefu\ochefda01,C,23,WAS,13,0,3.6,0.5,1.2,.467,0.0,0.0,,0.5,1.2,.467,.467,0.0,0.2,.000,0.2,1.0,1.2,0.2,0.1,0.0,0.2,0.9,1.1
322,Jahlil Okafor\okafoja01,C,21,PHI,34,19,23.1,4.8,9.4,.513,0.0,0.0,,4.8,9.4,.513,.513,1.8,2.9,.616,1.6,3.2,4.8,1.1,0.4,1.0,1.4,2.5,11.4
323,Victor Oladipo\oladivi01,SG,24,OKC,42,42,33.7,6.2,13.9,.444,2.0,5.5,.364,4.2,8.4,.497,.516,1.5,2.2,.714,0.6,3.6,4.2,2.5,1.2,0.3,1.5,2.3,15.9
324,Kelly Olynyk\olynyke01,C,25,BOS,43,5,21.0,3.3,6.6,.495,1.0,2.8,.355,2.3,3.8,.599,.571,1.1,1.6,.716,0.8,3.7,4.5,1.9,0.7,0.4,1.3,2.5,8.6
325,Arinze Onuaku\onuakar01,C,29,ORL,8,0,3.5,0.3,0.5,.500,0.0,0.0,,0.3,0.5,.500,.500,0.0,0.0,,0.3,0.5,0.8,0.3,0.0,0.1,0.3,0.4,0.5
